Regime,Label,Start,End,N,Mean_SCI,SD_SCI,Median_SCI,Max_SCI,Pct_CORE
Institutional,CME/CBOE Futures Era,2017-12-17,2018-06-30,196,0.562,0.242,0.5896,0.9434,28.1
Institutional,Corporate Treasury Wave,2020-10-01,2021-04-30,212,0.606,0.1933,0.6137,0.9334,28.8
Institutional,ProShares ETF / ATH,2021-10-01,2021-11-10,41,0.5669,0.1064,0.5453,0.8195,7.3
Institutional,Spot ETF Era,2024-01-11,2026-05-14,854,0.6209,0.225,0.6455,0.9672,35.0
Retail,Pre-Futures Retail,2017-01-01,2017-12-16,286,0.8007,0.1509,0.826,0.9761,75.9
Retail,Prolonged Bear / Retail,2018-07-01,2020-09-30,823,0.6404,0.2205,0.6781,0.9736,40.1
Retail,China Ban / Mid-Cycle,2021-05-01,2021-09-30,153,0.7381,0.1863,0.7978,0.9595,62.7
Retail,Post-ATH Deleveraging,2021-11-11,2022-01-31,82,0.6337,0.1741,0.672,0.9089,24.4
Retail,Luna/3AC Collapse,2022-05-01,2022-07-31,92,0.6544,0.1709,0.6366,0.9018,37.0
Retail,FTX Collapse / Crypto Winter,2022-11-01,2023-12-31,426,0.6526,0.1592,0.712,0.8842,36.6
